,Year-Rank,Movie,Year,Imdb,Metascore,Votes,Genre,Runtime,Cert,Gross,Director,Stars,n_imdb
66,31,Victory,1981,6.6,57,24180.0,"
Drama, Sport, War            ",116 min,-,10853418.0,John Huston,"['Michael Caine', 'Sylvester Stallone', 'Pelé', 'Bobby Moore']",66.0
67,32,The Postman Always Rings Twice,1981,6.6,61,19195.0,"
Crime, Drama, Romance            ",122 min,-,12376625.0,Bob Rafelson,"['Jack Nicholson', 'Jessica Lange', 'John Colicos', 'Michael Lerner']",66.0
68,33,Nighthawks,1981,6.4,56,14438.0,"
Action, Crime, Thriller            ",99 min,-,14905359.0,Bruce Malmuth,"['Sylvester Stallone', 'Rutger Hauer', 'Billy Dee Williams', 'Lindsay Wagner']",64.0
69,34,Porky's,1981,6.2,40,34290.0,"
Comedy            ",94 min,-,111289673.0,Bob Clark,"['Dan Monahan', 'Mark Herrier', 'Wyatt Knight', 'Roger Wilson']",62.0
70,35,The Cannonball Run,1981,6.2,28,29517.0,"
Action, Comedy, Sport            ",95 min,-,72179579.0,Hal Needham,"['Burt Reynolds', 'Roger Moore', 'Farrah Fawcett', 'Dom DeLuise']",62.0
71,36,My Bloody Valentine,1981,6.2,46,14679.0,"
Horror, Mystery, Thriller            ",90 min,-,5672031.0,George Mihalka,"['Paul Kelman', 'Lori Hallier', 'Neil Affleck', 'Keith Knight']",62.0
72,37,Friday the 13th Part 2,1981,6.1,26,48520.0,"
Horror, Mystery, Thriller            ",87 min,-,21722776.0,Steve Miner,"['Betsy Palmer', 'Amy Steel', 'John Furey', 'Adrienne King']",61.0
73,38,The Final Conflict,1981,5.6,34,16087.0,"
Horror            ",108 min,-,20471342.0,Graham Baker,"['Sam Neill', 'Rossano Brazzi', 'Don Gordon', 'Lisa Harrow']",56.0
74,1,Blade Runner,1982,8.2,89,600928.0,"
Sci-Fi, Thriller            ",117 min,R,27000000.0,Ridley Scott,"['Harrison Ford', 'Rutger Hauer', 'Sean Young', 'Edward James Olmos']",82.0
75,2,The Thing,1982,8.1,57,315518.0,"
Horror, Mystery, Sci-Fi            ",109 min,(Banned),13782838.0,John Carpenter,"['Kurt Russell', 'Wilford Brimley', 'Keith David', 'Richard Masur']",81.0
76,3,Gandhi,1982,8.1,79,201217.0,"
Biography, Drama, History            ",191 min,-,52767889.0,Richard Attenborough,"['Ben Kingsley', 'John Gielgud', 'Rohini Hattangadi', 'Roshan Seth']",81.0
77,4,Fanny och Alexander,1982,8.1,100,50154.0,"
Drama            ",188 min,-,4971340.0,Ingmar Bergman,"['Bertil Guve', 'Pernilla Allwin', 'Kristina Adolphson', 'Börje Ahlstedt']",81.0
78,5,E.T. the Extra-Terrestrial,1982,7.9,91,324006.0,"
Family, Sci-Fi            ",115 min,U,435110554.0,Steven Spielberg,"['Henry Thomas', 'Drew Barrymore', 'Peter Coyote', 'Dee Wallace']",79.0
79,6,The King of Comedy,1982,7.8,73,64328.0,"
Comedy, Crime, Drama            ",109 min,-,2500000.0,Martin Scorsese,"['Robert De Niro', 'Jerry Lewis', 'Diahnne Abbott', 'Sandra Bernhard']",78.0
80,7,The Verdict,1982,7.8,77,30988.0,"
Drama            ",129 min,-,54000000.0,Sidney Lumet,"['Paul Newman', 'Charlotte Rampling', 'Jack Warden', 'James Mason']",78.0
81,8,Missing,1982,7.8,78,16010.0,"
Biography, Drama, History            ",122 min,-,14000000.0,Costa-Gavras,"['Jack Lemmon', 'Sissy Spacek', 'Melanie Mayron', 'John Shea']",78.0
82,9,First Blood,1982,7.7,61,194912.0,"
Action, Adventure            ",93 min,-,47212904.0,Ted Kotcheff,"['Sylvester Stallone', 'Brian Dennehy', 'Richard Crenna', 'Bill McKinney']",77.0
83,10,Star Trek: The Wrath of Khan,1982,7.7,67,102155.0,"
Action, Adventure, Sci-Fi            ",113 min,PG,78912963.0,Nicholas Meyer,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan']",77.0
84,11,Sophie's Choice,1982,7.6,68,34995.0,"
Drama, Romance            ",150 min,-,30036000.0,Alan J. Pakula,"['Meryl Streep', 'Kevin Kline', 'Peter MacNicol', 'Rita Karin']",76.0
85,12,The Secret of NIMH,1982,7.6,76,31691.0,"
Animation, Adventure, Drama            ",82 min,-,10140325.0,Don Bluth,"['Elizabeth Hartman', 'Derek Jacobi', 'Dom DeLuise', 'Arthur Malet']",76.0
86,13,Poltergeist,1982,7.4,79,123470.0,"
Horror, Thriller            ",114 min,-,76606280.0,Tobe Hooper,"['JoBeth Williams', ""Heather O'Rourke"", 'Craig T. Nelson', 'Beatrice Straight']",74.0
87,14,Tootsie,1982,7.4,87,86663.0,"
Comedy, Drama, Romance            ",116 min,-,177200000.0,Sydney Pollack,"['Dustin Hoffman', 'Jessica Lange', 'Teri Garr', 'Dabney Coleman']",74.0
88,15,Fast Times at Ridgemont High,1982,7.2,67,82175.0,"
Comedy, Drama            ",90 min,-,27092880.0,Amy Heckerling,"['Sean Penn', 'Jennifer Jason Leigh', 'Judge Reinhold', 'Robert Romanus']",72.0
89,16,The Dark Crystal,1982,7.2,66,48093.0,"
Adventure, Family, Fantasy            ",93 min,-,40577001.0,Jim Henson,"['Jim Henson', 'Kathryn Mullen', 'Frank Oz', 'Dave Goelz']",72.0
90,17,The Year of Living Dangerously,1982,7.2,65,17442.0,"
Drama, Romance, War            ",115 min,-,10278575.0,Peter Weir,"['Mel Gibson', 'Sigourney Weaver', 'Linda Hunt', 'Bembol Roco']",72.0
91,18,The World According to Garp,1982,7.2,63,22818.0,"
Comedy, Drama            ",136 min,-,29712172.0,George Roy Hill,"['Robin Williams', 'Mary Beth Hurt', 'Glenn Close', 'John Lithgow']",72.0
92,19,Diner,1982,7.2,82,16872.0,"
Comedy, Drama            ",110 min,-,14100000.0,Barry Levinson,"['Steve Guttenberg', 'Mickey Rourke', 'Kevin Bacon', 'Daniel Stern']",72.0
93,20,An Officer and a Gentleman,1982,7.0,75,43000.0,"
Drama, Romance            ",124 min,-,129795552.0,Taylor Hackford,"['Richard Gere', 'Debra Winger', 'David Keith', 'Robert Loggia']",70.0
94,21,Evil Under the Sun,1982,7.0,61,11388.0,"
Drama, Mystery            ",117 min,-,6110000.0,Guy Hamilton,"['Peter Ustinov', 'James Mason', 'Maggie Smith', 'Colin Blakely']",70.0
95,22,Deathtrap,1982,7.0,54,10336.0,"
Comedy, Crime, Mystery            ",116 min,-,19282134.0,Sidney Lumet,"['Michael Caine', 'Christopher Reeve', 'Dyan Cannon', 'Irene Worth']",70.0
96,23,Conan the Barbarian,1982,6.9,43,124786.0,"
Adventure, Fantasy            ",129 min,-,39565475.0,John Milius,"['Arnold Schwarzenegger', 'James Earl Jones', 'Max von Sydow', 'Sandahl Bergman']",69.0
97,24,Creepshow,1982,6.9,59,35576.0,"
Comedy, Fantasy, Horror            ",120 min,-,19733000.0,George A. Romero,"['Hal Holbrook', 'Leslie Nielsen', 'Adrienne Barbeau', 'E.G. Marshall']",69.0
98,25,48 Hrs.,1982,6.9,71,60647.0,"
Action, Comedy, Crime            ",96 min,-,78868508.0,Walter Hill,"['Nick Nolte', 'Eddie Murphy', ""Annette O'Toole"", 'Frank McRae']",69.0
99,26,Rocky III,1982,6.8,57,146967.0,"
Drama, Sport            ",99 min,-,125049125.0,Sylvester Stallone,"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']",68.0
100,27,TRON,1982,6.8,58,103510.0,"
Action, Adventure, Sci-Fi            ",96 min,-,33000000.0,Steven Lisberger,"['Jeff Bridges', 'Bruce Boxleitner', 'David Warner', 'Cindy Morgan']",68.0
