 Year-Rank Movie Year Imdb Metascore Votes Genre Runtime Cert Gross Director Stars
Drama            " "109 min" - 119285432.0 "Mark Rydell" "['Katharine Hepburn', 'Henry Fonda', 'Jane Fonda', 'Doug McKeon']"
39 4 "An American Werewolf in London" (1981) 7.6 60 47680 "
Comedy, Horror            " "97 min" - 30565292.0 "John Landis" "['David Naughton', 'Jenny Agutter', 'Joe Belcher', 'Griffin Dunne']"
40 5 "Mad Max 2" (1981) 7.6 77 47680 "
Action, Adventure, Sci-Fi            " "95 min" - 12465371.0 "George Miller" "['Mel Gibson', 'Bruce Spence', 'Michael Preston', 'Max Phipps']"
41 6 "The Evil Dead" (1981) 7.5 70 47680 "
Horror            " "85 min" NC-17 2400000.0 "Sam Raimi" "['Bruce Campbell', 'Ellen Sandweiss', 'Richard DeManincor', 'Betsy Baker']"
42 7 Gallipoli (1981) 7.5 65 47680 "
Adventure, Drama, History            " "110 min" - 5732587.0 "Peter Weir" "['Mel Gibson', 'Mark Lee', 'Bill Kerr', 'Harold Hopkins']"
43 8 "Body Heat" (1981) 7.4 77 47680 "
Crime, Drama, Romance            " "113 min" - 24058838.0 "Lawrence Kasdan" "['William Hurt', 'Kathleen Turner', 'Richard Crenna', 'Ted Danson']"
44 9 Excalibur (1981) 7.4 56 47680 "
Adventure, Drama, Fantasy            " "140 min" PG 34967437.0 "John Boorman" "['Nigel Terry', 'Helen Mirren', 'Nicholas Clay', 'Cherie Lunghi']"
45 10 "Blow Out" (1981) 7.4 85 47680 "
Mystery, Thriller            " "108 min" - 13747234.0 "Brian De Palma" "['John Travolta', 'Nancy Allen', 'John Lithgow', 'Dennis Franz']"
46 11 Thief (1981) 7.4 78 47680 "
Action, Crime, Drama            " "122 min" - 11492915.0 "Michael Mann" "['James Caan', 'Tuesday Weld', 'Willie Nelson', 'Jim Belushi']"
47 12 Reds (1981) 7.4 76 47680 "
Biography, Drama, History            " "195 min" - 40382659.0 "Warren Beatty" "['Warren Beatty', 'Diane Keaton', 'Edward Herrmann', 'Jerzy Kosinski']"
48 13 "Escape from New York" (1981) 7.2 76 47680 "
Action, Sci-Fi            " "99 min" - 25244700.0 "John Carpenter" "['Kurt Russell', 'Lee Van Cleef', 'Ernest Borgnine', 'Donald Pleasence']"
49 14 "Chariots of Fire" (1981) 7.2 78 47680 "
Biography, Drama, Sport            " "125 min" - 58972904.0 "Hugh Hudson" "['Ben Cross', 'Ian Charleson', 'Nicholas Farrell', 'Nigel Havers']"
50 15 "Southern Comfort" (1981) 7.2 63 47680 "
Action, Thriller            " "106 min" - 5000000.0 "Walter Hill" "['Keith Carradine', 'Powers Boothe', 'Fred Ward', 'Franklyn Seales']"
51 16 "The Great Muppet Caper" (1981) 7.2 70 47680 "
Adventure, Comedy, Crime            " "97 min" - 31206251.0 "Jim Henson" "['Jim Henson', 'Frank Oz', 'Dave Goelz', 'Jerry Nelson']"
52 17 "Time Bandits" (1981) 7.0 79 47680 "
Adventure, Comedy, Fantasy            " "116 min" - 42365581.0 "Terry Gilliam" "['Sean Connery', 'Shelley Duvall', 'John Cleese', 'Katherine Helmond']"
53 18 "The French Lieutenant's Woman" (1981) 7.0 64 47680 "
Drama, Romance            " "124 min" - 22600000.0 "Karel Reisz" "['Meryl Streep', 'Jeremy Irons', 'Hilton McRae', 'Emily Morgan']"
54 19 Stripes (1981) 6.9 68 47680 "
Comedy, War            " "106 min" R 85297000.0 "Ivan Reitman" "['Bill Murray', 'John Candy', 'Harold Ramis', 'Warren Oates']"
55 20 "Clash of the Titans" (1981) 6.9 59 47680 "
Action, Adventure, Family            " "118 min" - 41092328.0 "Desmond Davis" "['Laurence Olivier', 'Harry Hamlin', 'Claire Bloom', 'Maggie Smith']"
56 21 Arthur (1981) 6.9 69 47680 "
Comedy, Romance            " "97 min" - 95461682.0 "Steve Gordon" "['Dudley Moore', 'Liza Minnelli', 'John Gielgud', 'Geraldine Fitzgerald']"
57 22 "Absence of Malice" (1981) 6.9 64 47680 "
Drama, Romance, Thriller            " "116 min" - 40716963.0 "Sydney Pollack" "['Paul Newman', 'Sally Field', 'Bob Balaban', 'Melinda Dillon']"
58 23 "For Your Eyes Only" (1981) 6.8 54 47680 "
Action, Adventure, Thriller            " "127 min" - 62300000.0 "John Glen" "['Roger Moore', 'Carole Bouquet', 'Topol', 'Lynn-Holly Johnson']"
59 24 Scanners (1981) 6.8 60 47680 "
Horror, Sci-Fi, Thriller            " "103 min" - 14225876.0 "David Cronenberg" "[""Jennifer O'Neill"", 'Stephen Lack', 'Patrick McGoohan', 'Lawrence Dane']"
60 25 Taps "(I) (1981)" 6.7 49 47680 "
Drama            " "126 min" - 35856053.0 "Harold Becker" "['George C. Scott', 'Timothy Hutton', 'Ronny Cox', 'Sean Penn']"
61 26 Dragonslayer (1981) 6.7 68 47680 "
Action, Adventure, Fantasy            " "108 min" - 14110013.0 "Matthew Robbins" "['Peter MacNicol', 'Caitlin Clarke', 'Ralph Richardson', 'John Hallam']"
62 27 "Heavy Metal" (1981) 6.7 51 47680 "
Animation, Adventure, Fantasy            " "86 min" - 27286.0 "Gerald Potterton" "['Richard Romanus', 'John Candy', 'Joe Flaherty', 'Don Francks']"
63 28 "Mommie Dearest" (1981) 6.7 55 47680 "
Biography, Drama            " "129 min" R 19032261.0 "Frank Perry" "['Faye Dunaway', 'Diana Scarwid', 'Steve Forrest', 'Howard Da Silva']"
64 29 "Halloween II" (1981) 6.6 40 47680 "
Horror            " "92 min" - 25533818.0 "Rick Rosenthal" "['Jamie Lee Curtis', 'Donald Pleasence', 'Charles Cyphers', 'Jeffrey Kramer']"
65 30 "The Howling" (1981) 6.6 68 47680 "
Horror            " "91 min" - 17986000.0 "Joe Dante" "['Dee Wallace', 'Patrick Macnee', 'Dennis Dugan', 'Christopher Stone']"
66 31 Victory (1981) 6.6 57 47680 "
Drama, Sport, War            " "116 min" - 10853418.0 "John Huston" "['Michael Caine', 'Sylvester Stallone', 'Pelé', 'Bobby Moore']"
67 32 "The Postman Always Rings Twice" (1981) 6.6 61 47680 "
Crime, Drama, Romance            " "122 min" - 12376625.0 "Bob Rafelson" "['Jack Nicholson', 'Jessica Lange', 'John Colicos', 'Michael Lerner']"
68 33 Nighthawks (1981) 6.4 56 47680 "
Action, Crime, Thriller            " "99 min" - 14905359.0 "Bruce Malmuth" "['Sylvester Stallone', 'Rutger Hauer', 'Billy Dee Williams', 'Lindsay Wagner']"
69 34 Porky's (1981) 6.2 40 47680 "
Comedy            " "94 min" - 111289673.0 "Bob Clark" "['Dan Monahan', 'Mark Herrier', 'Wyatt Knight', 'Roger Wilson']"
70 35 "The Cannonball Run" (1981) 6.2 28 47680 "
Action, Comedy, Sport            " "95 min" - 72179579.0 "Hal Needham" "['Burt Reynolds', 'Roger Moore', 'Farrah Fawcett', 'Dom DeLuise']"
71 36 "My Bloody Valentine" (1981) 6.2 46 47680 "
Horror, Mystery, Thriller            " "90 min" - 5672031.0 "George Mihalka" "['Paul Kelman', 'Lori Hallier', 'Neil Affleck', 'Keith Knight']"
72 37 "Friday the 13th Part 2" (1981) 6.1 26 47680 "
Horror, Mystery, Thriller            " "87 min" - 21722776.0 "Steve Miner" "['Betsy Palmer', 'Amy Steel', 'John Furey', 'Adrienne King']"
73 38 "The Final Conflict" (1981) 5.6 34 47680 "
Horror            " "108 min" - 20471342.0 "Graham Baker" "['Sam Neill', 'Rossano Brazzi', 'Don Gordon', 'Lisa Harrow']"
74 1 "Blade Runner" (1982) 8.2 89 47680 "
Sci-Fi, Thriller            " "117 min" R 27000000.0 "Ridley Scott" "['Harrison Ford', 'Rutger Hauer', 'Sean Young', 'Edward James Olmos']"
75 2 "The Thing" (1982) 8.1 57 47680 "
Horror, Mystery, Sci-Fi            " "109 min" (Banned) 13782838.0 "John Carpenter" "['Kurt Russell', 'Wilford Brimley', 'Keith David', 'Richard Masur']"
76 3 Gandhi (1982) 8.1 79 47680 "
Biography, Drama, History            " "191 min" - 52767889.0 "Richard Attenborough" "['Ben Kingsley', 'John Gielgud', 'Rohini Hattangadi', 'Roshan Seth']"
77 4 "Fanny och Alexander" (1982) 8.1 100 47680 "
Drama            " "188 min" - 4971340.0 "Ingmar Bergman" "['Bertil Guve', 'Pernilla Allwin', 'Kristina Adolphson', 'Börje Ahlstedt']"
78 5 "E.T. the Extra-Terrestrial" (1982) 7.9 91 47680 "
Family, Sci-Fi            " "115 min" U 435110554.0 "Steven Spielberg" "['Henry Thomas', 'Drew Barrymore', 'Peter Coyote', 'Dee Wallace']"
79 6 "The King of Comedy" (1982) 7.8 73 47680 "
Comedy, Crime, Drama            " "109 min" - 2500000.0 "Martin Scorsese" "['Robert De Niro', 'Jerry Lewis', 'Diahnne Abbott', 'Sandra Bernhard']"
80 7 "The Verdict" (1982) 7.8 77 47680 "
Drama            " "129 min" - 54000000.0 "Sidney Lumet" "['Paul Newman', 'Charlotte Rampling', 'Jack Warden', 'James Mason']"
81 8 Missing (1982) 7.8 78 47680 "
Biography, Drama, History            " "122 min" - 14000000.0 Costa-Gavras "['Jack Lemmon', 'Sissy Spacek', 'Melanie Mayron', 'John Shea']"
82 9 "First Blood" (1982) 7.7 61 47680 "
Action, Adventure            " "93 min" - 47212904.0 "Ted Kotcheff" "['Sylvester Stallone', 'Brian Dennehy', 'Richard Crenna', 'Bill McKinney']"
83 10 "Star Trek: The Wrath of Khan" (1982) 7.7 67 47680 "
Action, Adventure, Sci-Fi            " "113 min" PG 78912963.0 "Nicholas Meyer" "['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan']"
84 11 "Sophie's Choice" (1982) 7.6 68 47680 "
Drama, Romance            " "150 min" - 30036000.0 "Alan J. Pakula" "['Meryl Streep', 'Kevin Kline', 'Peter MacNicol', 'Rita Karin']"
85 12 "The Secret of NIMH" (1982) 7.6 76 47680 "
Animation, Adventure, Drama            " "82 min" - 10140325.0 "Don Bluth" "['Elizabeth Hartman', 'Derek Jacobi', 'Dom DeLuise', 'Arthur Malet']"
86 13 Poltergeist (1982) 7.4 79 47680 "
Horror, Thriller            " "114 min" - 76606280.0 "Tobe Hooper" "['JoBeth Williams', ""Heather O'Rourke"", 'Craig T. Nelson', 'Beatrice Straight']"
87 14 Tootsie (1982) 7.4 87 47680 "
Comedy, Drama, Romance            " "116 min" - 177200000.0 "Sydney Pollack" "['Dustin Hoffman', 'Jessica Lange', 'Teri Garr', 'Dabney Coleman']"
88 15 "Fast Times at Ridgemont High" (1982) 7.2 67 47680 "
Comedy, Drama            " "90 min" - 27092880.0 "Amy Heckerling" "['Sean Penn', 'Jennifer Jason Leigh', 'Judge Reinhold', 'Robert Romanus']"
89 16 "The Dark Crystal" (1982) 7.2 66 47680 "
Adventure, Family, Fantasy            " "93 min" - 40577001.0 "Jim Henson" "['Jim Henson', 'Kathryn Mullen', 'Frank Oz', 'Dave Goelz']"
90 17 "The Year of Living Dangerously" (1982) 7.2 65 47680 "
Drama, Romance, War            " "115 min" - 10278575.0 "Peter Weir" "['Mel Gibson', 'Sigourney Weaver', 'Linda Hunt', 'Bembol Roco']"
91 18 "The World According to Garp" (1982) 7.2 63 47680 "
Comedy, Drama            " "136 min" - 29712172.0 "George Roy Hill" "['Robin Williams', 'Mary Beth Hurt', 'Glenn Close', 'John Lithgow']"
92 19 Diner (1982) 7.2 82 47680 "
Comedy, Drama            " "110 min" - 14100000.0 "Barry Levinson" "['Steve Guttenberg', 'Mickey Rourke', 'Kevin Bacon', 'Daniel Stern']"
93 20 "An Officer and a Gentleman" (1982) 7.0 75 47680 "
Drama, Romance            " "124 min" - 129795552.0 "Taylor Hackford" "['Richard Gere', 'Debra Winger', 'David Keith', 'Robert Loggia']"
94 21 "Evil Under the Sun" (1982) 7.0 61 47680 "
Drama, Mystery            " "117 min" - 6110000.0 "Guy Hamilton" "['Peter Ustinov', 'James Mason', 'Maggie Smith', 'Colin Blakely']"
95 22 Deathtrap (1982) 7.0 54 47680 "
Comedy, Crime, Mystery            " "116 min" - 19282134.0 "Sidney Lumet" "['Michael Caine', 'Christopher Reeve', 'Dyan Cannon', 'Irene Worth']"
96 23 "Conan the Barbarian" (1982) 6.9 43 47680 "
Adventure, Fantasy            " "129 min" - 39565475.0 "John Milius" "['Arnold Schwarzenegger', 'James Earl Jones', 'Max von Sydow', 'Sandahl Bergman']"
97 24 Creepshow (1982) 6.9 59 47680 "
Comedy, Fantasy, Horror            " "120 min" - 19733000.0 "George A. Romero" "['Hal Holbrook', 'Leslie Nielsen', 'Adrienne Barbeau', 'E.G. Marshall']"
98 25 "48 Hrs." (1982) 6.9 71 47680 "
Action, Comedy, Crime            " "96 min" - 78868508.0 "Walter Hill" "['Nick Nolte', 'Eddie Murphy', ""Annette O'Toole"", 'Frank McRae']"
99 26 "Rocky III" (1982) 6.8 57 47680 "
Drama, Sport            " "99 min" - 125049125.0 "Sylvester Stallone" "['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']"
100 27 TRON (1982) 6.8 58 47680 "
Action, Adventure, Sci-Fi            " "96 min" - 33000000.0 "Steven Lisberger" "['Jeff Bridges', 'Bruce Boxleitner', 'David Warner', 'Cindy Morgan']"
101 28 "A Midsummer Night's Sex Comedy" (1982) 6.7 51 47680 "
Comedy            " "88 min" - 9077269.0 "Woody Allen" "['Woody Allen', 'Mia Farrow', 'José Ferrer', 'Julie Hagerty']"
102 29 "The Entity" (1982) 6.6 35 47680 "
Biography, Drama, Horror            " "125 min" - 13277558.0 "Sidney J. Furie" "['Barbara Hershey', 'Ron Silver', 'David Labiosa', 'George Coe']"
103 30 Annie (1982) 6.5 39 47680 "
Comedy, Drama, Family            " "126 min" - 57059003.0 "John Huston" "['Aileen Quinn', 'Albert Finney', 'Carol Burnett', 'Ann Reinking']"
104 31 "Night Shift" (1982) 6.5 62 47680 "
Comedy            " "106 min" - 23600000.0 "Ron Howard" "['Henry Winkler', 'Michael Keaton', 'Shelley Long', 'Gina Hecht']"
105 32 "The Beastmaster" (1982) 6.2 18 47680 "
Action, Adventure, Fantasy            " "118 min" - 14056528.0 "Don Coscarelli" "['Marc Singer', 'Tanya Roberts', 'Rip Torn', 'John Amos']"
106 33 "Cat People" (1982) 6.1 62 47680 "
Fantasy, Horror, Thriller            " "118 min" - 7000000.0 "Paul Schrader" "['Nastassja Kinski', 'Malcolm McDowell', 'John Heard', ""Annette O'Toole""]"
107 34 "Airplane II: The Sequel" (1982) 6.1 48 47680 "
Comedy, Sci-Fi            " "85 min" - 27150534.0 "Ken Finkleman" "['Robert Hays', 'Julie Hagerty', 'Lloyd Bridges', 'Raymond Burr']"
108 35 "Death Wish II" (1982) 6.0 11 47680 "
Action, Crime, Drama            " "89 min" - 16100000.0 "Michael Winner" "['Charles Bronson', 'Jill Ireland', 'Vincent Gardenia', 'J.D. Cannon']"
109 36 Firefox (1982) 5.9 44 47680 "
Action, Adventure, Thriller            " "136 min" - 46708276.0 "Clint Eastwood" "['Clint Eastwood', 'Freddie Jones', 'David Huffman', 'Warren Clarke']"
110 37 "The Toy" (1982) 5.8 16 47680 "
Comedy            " "102 min" - 47118057.0 "Richard Donner" "['Richard Pryor', 'Jackie Gleason', 'Ned Beatty', 'Scott Schwartz']"
111 38 "Friday the 13th Part III" (1982) 5.7 30 47680 "
Horror, Thriller            " "95 min" - 36690067.0 "Steve Miner" "['Dana Kimmell', 'Tracie Savage', 'Richard Brooker', 'Terry Ballard']"
112 39 "Swamp Thing" (1982) 5.4 50 47680 "
Horror, Sci-Fi            " "91 min" - 11133.0 "Wes Craven" "['Louis Jourdan', 'Adrienne Barbeau', 'Ray Wise', 'David Hess']"
113 40 "Halloween III: Season of the Witch" (1982) 4.7 50 47680 "
Horror, Mystery, Sci-Fi            " "98 min" - 14400000.0 "Tommy Lee Wallace" "['Tom Atkins', 'Stacey Nelkin', ""Dan O'Herlihy"", 'Michael Currie']"
114 1 Scarface (1983) 8.3 65 47680 "
Crime, Drama            " "170 min" - 45598982.0 "Brian De Palma" "['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer', 'Mary Elizabeth Mastrantonio']"
115 2 "Star Wars: Episode VI - Return of the Jedi" (1983) 8.3 58 47680 "
Action, Adventure, Fantasy            " "131 min" PG 309125409.0 "Richard Marquand" "['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']"
116 3 "A Christmas Story" (1983) 8.0 77 47680 "
Comedy, Family            " "94 min" U 19294144.0 "Bob Clark" "['Peter Billingsley', 'Melinda Dillon', 'Darren McGavin', 'Scott Schwartz']"
117 4 "The Right Stuff" (1983) 7.9 91 47680 "
Adventure, Biography, Drama            " "193 min" - 21500000.0 "Philip Kaufman" "['Sam Shepard', 'Scott Glenn', 'Ed Harris', 'Dennis Quaid']"
118 5 "Trading Places" (1983) 7.5 69 47680 "
Comedy            " "116 min" - 90404800.0 "John Landis" "['Eddie Murphy', 'Dan Aykroyd', 'Ralph Bellamy', 'Don Ameche']"
119 6 "National Lampoon's Vacation" (1983) 7.4 55 47680 "
Adventure, Comedy            " "98 min" - 61400000.0 "Harold Ramis" "['Chevy Chase', ""Beverly D'Angelo"", 'Imogene Coca', 'Randy Quaid']"
120 7 "Terms of Endearment" (1983) 7.4 79 47680 "
Comedy, Drama            " "132 min" - 108423489.0 "James L. Brooks" "['Shirley MacLaine', 'Debra Winger', 'Jack Nicholson', 'Danny DeVito']"
121 8 Videodrome (1983) 7.3 60 47680 "
Horror, Sci-Fi, Thriller            " "87 min" - 2120439.0 "David Cronenberg" "['James Woods', 'Debbie Harry', 'Sonja Smits', 'Peter Dvorsky']"
122 9 "The Outsiders" (1983) 7.2 41 47680 "
Crime, Drama            " "91 min" PG 25600000.0 "Francis Ford Coppola" "['C. Thomas Howell', 'Matt Dillon', 'Ralph Macchio', 'Patrick Swayze']"
123 10 "The Big Chill" (1983) 7.2 61 47680 "
Comedy, Drama            " "105 min" - 56200000.0 "Lawrence Kasdan" "['Tom Berenger', 'Glenn Close', 'Jeff Goldblum', 'William Hurt']"
124 11 "The Dead Zone" (1983) 7.2 69 47680 "
Horror, Sci-Fi, Thriller            " "103 min" - 20766000.0 "David Cronenberg" "['Christopher Walken', 'Brooke Adams', 'Tom Skerritt', 'Herbert Lom']"
125 12 "Rumble Fish" (1983) 7.2 63 47680 "
Drama            " "94 min" - 2494480.0 "Francis Ford Coppola" "['Matt Dillon', 'Mickey Rourke', 'Diane Lane', 'Dennis Hopper']"
126 13 "Bad Boys" (1983) 7.2 53 47680 "
Crime, Drama, Thriller            " "123 min" - 9200000.0 "Rick Rosenthal" "['Sean Penn', 'Reni Santoni', 'Jim Moody', 'Eric Gurry']"
127 14 Silkwood (1983) 7.2 64 47680 "
