 Year-Rank Movie Year Imdb Metascore Votes Genre Runtime Cert Gross Director Stars
Crime, Drama, Thriller            " "97 min" R 8111360.0 "Stephen Frears" "['Chiwetel Ejiofor', 'Audrey Tautou', 'Sophie Okonedo', 'Sergi López']"
894 30 Spider-Man (2002) 7.3 73 47680 "
Action, Adventure, Sci-Fi            " "121 min" U 403706375.0 "Sam Raimi" "['Tobey Maguire', 'Kirsten Dunst', 'Willem Dafoe', 'James Franco']"
895 31 "Punch-Drunk Love" (2002) 7.3 78 47680 "
Comedy, Drama, Romance            " "95 min" R 17844216.0 "Paul Thomas Anderson" "['Adam Sandler', 'Emily Watson', 'Philip Seymour Hoffman', 'Jason Andrews']"
896 32 "Antwone Fisher" (2002) 7.3 62 47680 "
Biography, Drama            " "120 min" PG-13 21078145.0 "Denzel Washington" "['Denzel Washington', 'Derek Luke', 'Joy Bryant', 'Malcolm David Kelley']"
897 33 "L'auberge espagnole" (2002) 7.3 65 47680 "
Comedy, Drama, Romance            " "122 min" R 3895664.0 "Cédric Klapisch" "['Romain Duris', 'Judith Godrèche', 'Kelly Reilly', 'Audrey Tautou']"
898 34 Amen. (2002) 7.3 57 47680 "
Biography, Crime, Drama            " "132 min" - 274299.0 Costa-Gavras "['Ulrich Tukur', 'Mathieu Kassovitz', 'Ulrich Mühe', 'Michel Duchaussoy']"
899 35 "Lilo & Stitch" (2002) 7.2 73 47680 "
Animation, Adventure, Comedy            " "85 min" PG 145794338.0 "Dean DeBlois" "['Daveigh Chase', 'Chris Sanders', 'Tia Carrere', 'David Ogden Stiers']"
900 36 "Red Dragon" (2002) 7.2 60 47680 "
Crime, Drama, Thriller            " "124 min" A 93149898.0 "Brett Ratner" "['Anthony Hopkins', 'Edward Norton', 'Ralph Fiennes', 'Harvey Keitel']"
901 37 Chicago (2002) 7.2 82 47680 "
Comedy, Crime, Musical            " "113 min" PG-13 170687518.0 "Rob Marshall" "['Renée Zellweger', 'Catherine Zeta-Jones', 'Richard Gere', 'Taye Diggs']"
902 38 Insomnia (2002) 7.2 78 47680 "
Drama, Mystery, Thriller            " "118 min" R 67355513.0 "Christopher Nolan" "['Al Pacino', 'Robin Williams', 'Hilary Swank', 'Martin Donovan']"
903 39 "We Were Soldiers" (2002) 7.2 65 47680 "
Action, Drama, History            " "138 min" R 78122718.0 "Randall Wallace" "['Mel Gibson', 'Madeleine Stowe', 'Greg Kinnear', 'Sam Elliott']"
904 40 "About Schmidt" (2002) 7.2 85 47680 "
Comedy, Drama            " "125 min" R 65016287.0 "Alexander Payne" "['Jack Nicholson', 'Hope Davis', 'Dermot Mulroney', 'Kathy Bates']"
905 41 "White Oleander" (2002) 7.2 61 47680 "
Drama            " "109 min" PG-13 16346122.0 "Peter Kosminsky" "['Michelle Pfeiffer', 'Renée Zellweger', 'Robin Wright', 'Alison Lohman']"
906 42 "Nicholas Nickleby" (2002) 7.2 71 47680 "
Adventure, Drama, Romance            " "132 min" PG 1587173.0 "Douglas McGrath" "['Charlie Hunnam', 'Jamie Bell', 'Christopher Plummer', 'Jim Broadbent']"
907 43 "The Salton Sea" (2002) 7.2 41 47680 "
Crime, Drama, Mystery            " "103 min" R 764554.0 "D.J. Caruso" "['Val Kilmer', ""Vincent D'Onofrio"", 'Adam Goldberg', 'Luis Guzmán']"
908 44 Narc (2002) 7.2 70 47680 "
Crime, Drama, Mystery            " "105 min" R 10460089.0 "Joe Carnahan" "['Ray Liotta', 'Jason Patric', 'Chi McBride', 'Dan Leis']"
909 45 "8 Mile" (2002) 7.1 77 47680 "
Drama, Music            " "110 min" A 116724075.0 "Curtis Hanson" "['Eminem', 'Brittany Murphy', 'Kim Basinger', 'Mekhi Phifer']"
910 1 "The Lord of the Rings: The Return of the King" (2003) 8.9 94 47680 "
Action, Adventure, Drama            " "201 min" PG-13 377845905.0 "Peter Jackson" "['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']"
911 2 "La meglio gioventù" (2003) 8.5 89 47680 "
Drama, Romance            " "366 min" R 254224.0 "Marco Tullio Giordana" "['Luigi Lo Cascio', 'Alessio Boni', 'Jasmine Trinca', 'Adriana Asti']"
912 3 "Kill Bill: Vol. 1" (2003) 8.1 69 47680 "
Action, Crime, Thriller            " "111 min" R 70099045.0 "Quentin Tarantino" "['Uma Thurman', 'David Carradine', 'Daryl Hannah', 'Michael Madsen']"
913 4 "Finding Nemo" (2003) 8.1 90 47680 "
Animation, Adventure, Comedy            " "100 min" - 380843261.0 "Andrew Stanton" "['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe']"
914 5 "Salinui chueok" (2003) 8.1 82 47680 "
Action, Crime, Drama            " "131 min" - 14131.0 "Joon-ho Bong" "['Kang-ho Song', 'Sang-kyung Kim', 'Roe-ha Kim', 'Jae-ho Song']"
915 6 "Pirates of the Caribbean: The Curse of the Black Pearl" (2003) 8.0 63 47680 "
Action, Adventure, Fantasy            " "143 min" PG-13 305413918.0 "Gore Verbinski" "['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley']"
916 7 "Mystic River" (2003) 8.0 84 47680 "
Crime, Drama, Mystery            " "138 min" A 90135191.0 "Clint Eastwood" "['Sean Penn', 'Tim Robbins', 'Kevin Bacon', 'Emmy Rossum']"
917 8 "Big Fish" (2003) 8.0 58 47680 "
Adventure, Drama, Fantasy            " "125 min" PG-13 66257002.0 "Tim Burton" "['Ewan McGregor', 'Albert Finney', 'Billy Crudup', 'Jessica Lange']"
918 9 Dogville (2003) 8.0 60 47680 "
Crime, Drama            " "178 min" R 1530386.0 "Lars von Trier" "['Nicole Kidman', 'Paul Bettany', 'Lauren Bacall', 'Harriet Andersson']"
919 10 "Tôkyô goddofâzâzu" (2003) 7.9 73 47680 "
Animation, Adventure, Comedy            " "93 min" PG-13 128985.0 "Satoshi Kon" "['Tôru Emori', 'Yoshiaki Umegaki', 'Aya Okamoto', 'Shôzô Îzuka']"
920 11 "Lost in Translation" (2003) 7.8 89 47680 "
Drama            " "102 min" R 44585453.0 "Sofia Coppola" "['Bill Murray', 'Scarlett Johansson', 'Giovanni Ribisi', 'Anna Faris']"
921 12 "Les triplettes de Belleville" (2003) 7.8 91 47680 "
Animation, Comedy, Drama            " "78 min" PG-13 7002255.0 "Sylvain Chomet" "['Michèle Caucheteux', 'Jean-Claude Donda', 'Michel Robin', 'Monica Viegas']"
922 13 "The Last Samurai" (2003) 7.7 55 47680 "
Action, Drama, History            " "154 min" R 111110575.0 "Edward Zwick" "['Tom Cruise', 'Ken Watanabe', 'Billy Connolly', 'William Atherton']"
923 14 "21 Grams" (2003) 7.7 70 47680 "
Crime, Drama, Thriller            " "124 min" R 16248701.0 "Alejandro G. Iñárritu" "['Sean Penn', 'Benicio Del Toro', 'Naomi Watts', 'Danny Huston']"
924 15 "Good Bye Lenin!" (2003) 7.7 68 47680 "
Comedy, Drama, Romance            " "121 min" R 4064200.0 "Wolfgang Becker" "['Daniel Brühl', 'Katrin Saß', 'Chulpan Khamatova', 'Florian Lukas']"
925 16 "The Station Agent" (2003) 7.7 81 47680 "
Comedy, Drama            " "89 min" R 5739376.0 "Tom McCarthy" "['Peter Dinklage', 'Patricia Clarkson', 'Bobby Cannavale', 'Paul Benjamin']"
926 17 "Les invasions barbares" (2003) 7.7 70 47680 "
Comedy, Crime, Drama            " "99 min" R 3432342.0 "Denys Arcand" "['Rémy Girard', 'Dorothée Berryman', 'Stéphane Rousseau', 'Marie-Josée Croze']"
927 18 "Love Actually" (2003) 7.6 55 47680 "
Comedy, Drama, Romance            " "135 min" R 59696144.0 "Richard Curtis" "['Hugh Grant', 'Martine McCutcheon', 'Liam Neeson', 'Laura Linney']"
928 19 "Secondhand Lions" (2003) 7.6 52 47680 "
Comedy, Drama, Family            " "111 min" PG 41407470.0 "Tim McCanlies" "['Haley Joel Osment', 'Michael Caine', 'Robert Duvall', 'Kyra Sedgwick']"
929 20 "The Life of David Gale" (2003) 7.6 31 47680 "
Crime, Drama, Thriller            " "130 min" R 19593740.0 "Alan Parker" "['Kevin Spacey', 'Kate Winslet', 'Laura Linney', 'Cleo King']"
930 21 "House of Sand and Fog" (2003) 7.6 71 47680 "
Crime, Drama            " "126 min" R 13005485.0 "Vadim Perelman" "['Jennifer Connelly', 'Ben Kingsley', 'Ron Eldard', 'Frances Fisher']"
931 22 "My Life Without Me" (2003) 7.6 57 47680 "
Drama, Romance            " "106 min" R 395592.0 "Isabel Coixet" "['Sarah Polley', 'Scott Speedman', 'Mark Ruffalo', 'Leonor Watling']"
932 23 "Politiki kouzina" (2003) 7.6 48 47680 "
Comedy, Drama            " "108 min" - 11643.0 "Tassos Boulmetis" "['Georges Corraface', 'Ieroklis Michaelidis', 'Renia Louizidou', 'Tamer Karadagli']"
933 24 "Ruang rak noi nid mahasan" (2003) 7.6 73 47680 "
Comedy, Drama, Romance            " "112 min" R 31747.0 "Pen-Ek Ratanaruang" "['Tadanobu Asano', 'Sinitta Boonyasak', 'Takashi Miike', 'Laila Boonyasak']"
934 25 X2 (2003) 7.5 68 47680 "
Action, Adventure, Sci-Fi            " "134 min" PG-13 214949694.0 "Bryan Singer" "['Patrick Stewart', 'Hugh Jackman', 'Halle Berry', 'Ian McKellen']"
935 26 "Open Range" (2003) 7.5 67 47680 "
Action, Drama, Romance            " "139 min" R 58331254.0 "Kevin Costner" "['Kevin Costner', 'Robert Duvall', 'Diego Luna', 'Abraham Benrubi']"
936 27 "American Splendor" (2003) 7.5 90 47680 "
Biography, Comedy, Drama            " "101 min" R 6003587.0 "Shari Springer Berman" "['Paul Giamatti', 'Shari Springer Berman', 'Harvey Pekar', 'Chris Ambrose']"
937 28 "Master and Commander: The Far Side of the World" (2003) 7.4 81 47680 "
Action, Adventure, Drama            " "138 min" PG-13 93927920.0 "Peter Weir" "['Russell Crowe', 'Paul Bettany', 'Billy Boyd', ""James D'Arcy""]"
938 29 Identity (2003) 7.3 64 47680 "
Mystery, Thriller            " "90 min" A 52159536.0 "James Mangold" "['John Cusack', 'Ray Liotta', 'Amanda Peet', 'John Hawkes']"
939 30 Monster (2003) 7.3 74 47680 "
Biography, Crime, Drama            " "109 min" R 34469210.0 "Patty Jenkins" "['Charlize Theron', 'Christina Ricci', 'Bruce Dern', 'Lee Tergesen']"
940 31 Seabiscuit (2003) 7.3 72 47680 "
Drama, History, Sport            " "140 min" PG-13 120277854.0 "Gary Ross" "['Tobey Maguire', 'Jeff Bridges', 'Elizabeth Banks', 'Chris Cooper']"
941 32 "Matchstick Men" (2003) 7.3 61 47680 "
Comedy, Crime, Drama            " "116 min" PG-13 36906460.0 "Ridley Scott" "['Nicolas Cage', 'Alison Lohman', 'Sam Rockwell', 'Bruce Altman']"
942 33 "A Mighty Wind" (2003) 7.3 81 47680 "
Comedy, Music            " "91 min" PG-13 17508936.0 "Christopher Guest" "['Christopher Guest', 'Eugene Levy', 'Michael McKean', 'Harry Shearer']"
943 34 "The Dreamers" (2003) 7.2 62 47680 "
Drama, Romance            " "115 min" NC-17 2531462.0 "Bernardo Bertolucci" "['Michael Pitt', 'Louis Garrel', 'Eva Green', 'Anna Chancellor']"
944 35 "The Matrix Reloaded" (2003) 7.2 62 47680 "
Action, Sci-Fi            " "138 min" A 281492479.0 "Lana Wachowski" "['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']"
945 36 "Cold Mountain" (2003) 7.2 73 47680 "
Adventure, Drama, History            " "154 min" R 95636509.0 "Anthony Minghella" "['Jude Law', 'Nicole Kidman', 'Renée Zellweger', 'Eileen Atkins']"
946 37 Elephant (2003) 7.2 70 47680 "
Crime, Drama, Thriller            " "81 min" R 1227000.0 "Gus Van Sant" "['Elias McConnell', 'Alex Frost', 'Eric Deulen', 'John Robinson']"
947 38 "Shattered Glass" (2003) 7.2 73 47680 "
Drama, History            " "94 min" PG-13 2220008.0 "Billy Ray" "['Hayden Christensen', 'Chloë Sevigny', 'Steve Zahn', 'Peter Sarsgaard']"
948 39 Ong-bak (2003) 7.2 69 47680 "
Action, Crime, Thriller            " "108 min" R 4560061.0 "Prachya Pinkaew" "['Tony Jaa', 'Petchtai Wongkamlao', 'Pumwaree Yodkamol', 'Suchao Pongwilai']"
949 40 11:14 (2003) 7.2 65 47680 "
Crime, Drama, Horror            " "86 min" R 41120.0 "Greg Marcks" "['Henry Thomas', 'Colin Hanks', 'Ben Foster', 'Patrick Swayze']"
950 41 "The School of Rock" (2003) 7.1 82 47680 "
Comedy, Music            " "108 min" PG-13 81261177.0 "Richard Linklater" "['Jack Black', 'Mike White', 'Joan Cusack', 'Adam Pascal']"
951 42 "Old School" (2003) 7.1 54 47680 "
Comedy            " "88 min" R 75585093.0 "Todd Phillips" "['Luke Wilson', 'Vince Vaughn', 'Will Ferrell', 'Jeremy Piven']"
952 43 "Runaway Jury" (2003) 7.1 61 47680 "
Crime, Drama, Thriller            " "127 min" PG-13 49443628.0 "Gary Fleder" "['John Cusack', 'Rachel Weisz', 'Gene Hackman', 'Dustin Hoffman']"
953 44 "Bad Santa" (2003) 7.1 70 47680 "
Comedy, Crime, Drama            " "91 min" R 60060328.0 "Terry Zwigoff" "['Billy Bob Thornton', 'Bernie Mac', 'Lauren Graham', 'John Ritter']"
954 45 "Coffee and Cigarettes" (2003) 7.1 65 47680 "
Comedy, Drama, Music            " "95 min" UA 1971135.0 "Jim Jarmusch" "['Bill Murray', 'Tom Waits', 'Roberto Benigni', 'RZA']"
955 46 "Latter Days" (2003) 7.1 45 47680 "
Comedy, Drama, Romance            " "107 min" R 819939.0 "C. Jay Cox" "['Wes Ramsey', 'Steve Sandvoss', 'Mary Kay Place', 'Amber Benson']"
956 47 "The United States of Leland" (2003) 7.1 37 47680 "
Drama            " "108 min" R 343816.0 "Matthew Ryan Hoge" "['Ryan Gosling', 'Don Cheadle', 'Kevin Spacey', 'Chris Klein']"
957 48 "Pieces of April" (2003) 7.1 70 47680 "
Comedy, Drama            " "80 min" PG-13 2528664.0 "Peter Hedges" "['Katie Holmes', 'Oliver Platt', 'Patricia Clarkson', 'Derek Luke']"
958 1 "Eternal Sunshine of the Spotless Mind" (2004) 8.3 89 47680 "
Drama, Romance, Sci-Fi            " "108 min" A 34400301.0 "Michel Gondry" "['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson', 'Gerry Robert Byrne']"
959 2 "Million Dollar Baby" (2004) 8.1 86 47680 "
Drama, Sport            " "132 min" UA 100492203.0 "Clint Eastwood" "['Hilary Swank', 'Clint Eastwood', 'Morgan Freeman', 'Jay Baruchel']"
960 3 "Hotel Rwanda" (2004) 8.1 79 47680 "
Biography, Drama, History            " "121 min" PG-13 23530892.0 "Terry George" "['Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix', 'Xolani Mali']"
961 4 "Before Sunset" (2004) 8.1 90 47680 "
Drama, Romance            " "80 min" R 5792822.0 "Richard Linklater" "['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff', 'Louise Lemoine Torrès']"
962 5 "Lakposhtha parvaz mikonand" (2004) 8.1 85 47680 "
Drama, War            " "98 min" PG-13 256822.0 "Bahman Ghobadi" "['Soran Ebrahim', 'Avaz Latif', 'Saddam Hossein Feysal', 'Hiresh Feysal Rahman']"
963 6 "The Incredibles" (2004) 8.0 90 47680 "
Animation, Action, Adventure            " "115 min" U 261441092.0 "Brad Bird" "['Craig T. Nelson', 'Samuel L. Jackson', 'Holly Hunter', 'Jason Lee']"
964 7 "Kill Bill: Vol. 2" (2004) 8.0 83 47680 "
Action, Crime, Thriller            " "137 min" R 66208183.0 "Quentin Tarantino" "['Uma Thurman', 'David Carradine', 'Michael Madsen', 'Daryl Hannah']"
965 8 "Gegen die Wand" (2004) 8.0 78 47680 "
Drama, Romance            " "121 min" R 45851.0 "Fatih Akin" "['Birol Ünel', 'Sibel Kekilli', 'Güven Kiraç', 'Zarah Jane McKenzie']"
966 9 "The Notebook" (2004) 7.9 53 47680 "
Drama, Romance            " "123 min" PG-13 81001787.0 "Nick Cassavetes" "['Gena Rowlands', 'James Garner', 'Rachel McAdams', 'Ryan Gosling']"
967 10 "Harry Potter and the Prisoner of Azkaban" (2004) 7.9 82 47680 "
Adventure, Family, Fantasy            " "142 min" U 249358727.0 "Alfonso Cuarón" "['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Richard Griffiths']"
968 11 "Shaun of the Dead" (2004) 7.9 76 47680 "
Comedy, Horror            " "99 min" R 13542874.0 "Edgar Wright" "['Simon Pegg', 'Nick Frost', 'Kate Ashfield', 'Lucy Davis']"
969 12 "Inside I'm Dancing" (2004) 7.9 59 47680 "
Comedy, Drama            " "104 min" R 21864.0 "Damien O'Donnell" "['James McAvoy', 'Steven Robertson', 'Romola Garai', 'Alan King']"
970 13 Crash "(I) (2004)" 7.8 69 47680 "
Crime, Drama, Thriller            " "112 min" A 54580300.0 "Paul Haggis" "['Don Cheadle', 'Sandra Bullock', 'Thandie Newton', 'Karina Arroyave']"
971 14 "The Bourne Supremacy" (2004) 7.8 73 47680 "
Action, Thriller            " "108 min" A 176241941.0 "Paul Greengrass" "['Matt Damon', 'Franka Potente', 'Joan Allen', 'Brian Cox']"
972 15 "Dear Frankie" (2004) 7.8 63 47680 "
Drama, Romance            " "105 min" PG-13 1340891.0 "Shona Auerbach" "['Emily Mortimer', 'Jack McElhone', 'Gerard Butler', 'Mary Riggans']"
973 16 "The Machinist" (2004) 7.7 61 47680 "
Drama, Thriller            " "101 min" R 1082715.0 "Brad Anderson" "['Christian Bale', 'Jennifer Jason Leigh', 'Aitana Sánchez-Gijón', 'John Sharian']"
974 17 "Man on Fire" (2004) 7.7 47 47680 "
Action, Crime, Drama            " "146 min" R 77911774.0 "Tony Scott" "['Denzel Washington', 'Christopher Walken', 'Dakota Fanning', 'Radha Mitchell']"
975 18 "The Butterfly Effect" (2004) 7.7 30 47680 "
Sci-Fi, Thriller            " "113 min" R 57938693.0 "Eric Bress" "['Ashton Kutcher', 'Amy Smart', 'Melora Walters', 'Elden Henson']"
976 19 "Finding Neverland" (2004) 7.7 67 47680 "
Biography, Drama, Family            " "106 min" PG 51680613.0 "Marc Forster" "['Johnny Depp', 'Kate Winslet', 'Julie Christie', 'Radha Mitchell']"
977 20 "Dead Man's Shoes" (2004) 7.7 52 47680 "
Crime, Drama, Thriller            " "90 min" - 6013.0 "Shane Meadows" "['Paddy Considine', 'Gary Stretch', 'Toby Kebbell', 'Stuart Wolfenden']"
978 21 Ray "(I) (2004)" 7.7 73 47680 "
Biography, Drama, Music            " "152 min" A 75331600.0 "Taylor Hackford" "['Jamie Foxx', 'Regina King', 'Kerry Washington', 'Clifton Powell']"
979 22 "Mysterious Skin" (2004) 7.7 73 47680 "
Drama, Mystery, Thriller            " "105 min" Unrated 697181.0 "Gregg Araki" "['Brady Corbet', 'Joseph Gordon-Levitt', 'Elisabeth Shue', 'Chase Ellison']"
980 23 "Vera Drake" (2004) 7.7 83 47680 "
Crime, Drama            " "125 min" R 3753806.0 "Mike Leigh" "['Imelda Staunton', 'Jim Broadbent', 'Heather Craney', 'Richard Graham']"
981 24 Saw (2004) 7.6 46 47680 "
Horror, Mystery, Thriller            " "103 min" R 56000369.0 "James Wan" "['Cary Elwes', 'Leigh Whannell', 'Danny Glover', 'Ken Leung']"
982 25 Innocence "(I) (2004)" 7.6 66 47680 "
Animation, Drama, Sci-Fi            " "100 min" PG-13 1043896.0 "Mamoru Oshii" "['Akio Ôtsuka', 'Atsuko Tanaka', 'Tamio Ohki', 'Kôichi Yamadera']"
983 26 "The Aviator" (2004) 7.5 77 47680 "
Biography, Drama, History            " "170 min" UA 102608827.0 "Martin Scorsese" "['Leonardo DiCaprio', 'Cate Blanchett', 'Kate Beckinsale', 'John C. Reilly']"
984 27 Collateral (2004) 7.5 71 47680 "
Crime, Drama, Thriller            " "120 min" A 101005703.0 "Michael Mann" "['Tom Cruise', 'Jamie Foxx', 'Jada Pinkett Smith', 'Mark Ruffalo']"
985 28 Sideways (2004) 7.5 94 47680 "
Comedy, Drama, Romance            " "127 min" R 71503593.0 "Alexander Payne" "['Paul Giamatti', 'Thomas Haden Church', 'Virginia Madsen', 'Sandra Oh']"
986 29 "Garden State" (2004) 7.5 67 47680 "
Comedy, Drama, Romance            " "102 min" R 26782316.0 "Zach Braff" "['Zach Braff', 'Peter Sarsgaard', 'Natalie Portman', 'Ian Holm']"
987 30 Miracle (2004) 7.5 68 47680 "
Biography, Drama, History            " "135 min" PG 64378093.0 "Gavin O'Connor" "['Kurt Russell', 'Patricia Clarkson', 'Nathan West', 'Noah Emmerich']"
988 31 "Maria Full of Grace" (2004) 7.5 87 47680 "
Crime, Drama            " "101 min" R 6517198.0 "Joshua Marston" "['Catalina Sandino Moreno', 'Guilied Lopez', 'Orlando Tobón', 'Virgina Ariza']"
989 32 "Die fetten Jahre sind vorbei" (2004) 7.5 68 47680 "
Drama, Romance            " "127 min" R 175493.0 "Hans Weingartner" "['Daniel Brühl', 'Julia Jentsch', 'Stipe Erceg', 'Burghart Klaußner']"
990 33 "Layer Cake" (2004) 7.4 73 47680 "
Crime, Drama, Thriller            " "105 min" R 2338695.0 "Matthew Vaughn" "['Daniel Craig', 'Sienna Miller', 'Michael Gambon', 'Tom Hardy']"
991 34 "It's All Gone Pete Tong" (2004) 7.4 56 47680 "
Biography, Comedy, Drama            " "90 min" R 120620.0 "Michael Dowse" "['Paul Kaye', 'Beatriz Batarda', 'Kate Magowan', 'Mike Wilmot']"
992 35 "Spider-Man 2" (2004) 7.3 83 47680 "
Action, Adventure, Sci-Fi            " "127 min" U 373585825.0 "Sam Raimi" "['Tobey Maguire', 'Kirsten Dunst', 'Alfred Molina', 'James Franco']"
993 36 "The Phantom of the Opera" (2004) 7.3 40 47680 "
Drama, Musical, Romance            " "143 min" PG-13 51268815.0 "Joel Schumacher" "['Gerard Butler', 'Emmy Rossum', 'Patrick Wilson', 'Miranda Richardson']"
994 37 Closer "(I) (2004)" 7.3 65 47680 "
Drama, Romance            " "104 min" R 33987757.0 "Mike Nichols" "['Natalie Portman', 'Jude Law', 'Clive Owen', 'Julia Roberts']"
995 38 "Dawn of the Dead" (2004) 7.3 59 47680 "
Action, Horror, Thriller            " "101 min" R 59020957.0 "Zack Snyder" "['Sarah Polley', 'Ving Rhames', 'Mekhi Phifer', 'Jake Weber']"
996 39 "The Terminal" (2004) 7.3 55 47680 "
Comedy, Drama, Romance            " "128 min" PG-13 77872883.0 "Steven Spielberg" "['Tom Hanks', 'Catherine Zeta-Jones', 'Chi McBride', 'Stanley Tucci']"
997 40 "Friday Night Lights" (2004) 7.3 70 47680 "
Action, Drama, Sport            " "118 min" PG-13 61188085.0 "Peter Berg" "['Billy Bob Thornton', 'Jay Hernandez', 'Derek Luke', 'Lucas Black']"
998 41 "The Life Aquatic with Steve Zissou" (2004) 7.3 62 47680 "
Adventure, Comedy, Drama            " "119 min" R 24006726.0 "Wes Anderson" "['Bill Murray', 'Owen Wilson', 'Anjelica Huston', 'Cate Blanchett']"
999 42 "Mean Creek" (2004) 7.3 74 47680 "
Crime, Drama            " "90 min" R 603951.0 "Jacob Estes" "['Rory Culkin', 'Ryan Kelley', 'Scott Mechlowicz', 'Trevor Morgan']"
1000 43 Troy (2004) 7.2 56 47680 "
Drama, History, Romance            " "163 min" R 133378256.0 "Wolfgang Petersen" "['Brad Pitt', 'Eric Bana', 'Orlando Bloom', 'Julian Glover']"
1001 44 "Shrek 2" (2004) 7.2 75 47680 "
Animation, Adventure, Comedy            " "93 min" PG 436471036.0 "Andrew Adamson" "['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Julie Andrews']"
1002 1 "Batman Begins" (2005) 8.3 70 47680 "
Action, Adventure            " "140 min" UA 206852432.0 "Christopher Nolan" "['Christian Bale', 'Michael Caine', 'Ken Watanabe', 'Liam Neeson']"
1003 2 "V for Vendetta" (2005) 8.2 62 47680 "
Action, Drama, Sci-Fi            " "132 min" A 70511035.0 "James McTeigue" "['Hugo Weaving', 'Natalie Portman', 'Rupert Graves', 'Stephen Rea']"
1004 3 "Sin City" (2005) 8.0 74 47680 "
Crime, Thriller            " "124 min" R 74103820.0 "Frank Miller" "['Mickey Rourke', 'Clive Owen', 'Bruce Willis', 'Jessica Alba']"
1005 4 "Cinderella Man" (2005) 8.0 69 47680 "
Biography, Drama, Sport            " "144 min" PG-13 61649911.0 "Ron Howard" "['Russell Crowe', 'Renée Zellweger', 'Craig Bierko', 'Paul Giamatti']"
1006 5 C.R.A.Z.Y. (2005) 8.0 81 47680 "
Comedy, Drama            " "127 min" - 29648.0 "Jean-Marc Vallée" "['Michel Côté', 'Marc-André Grondin', 'Danielle Proulx', 'Émile Vallée']"
1007 6 "Moartea domnului Lãzãrescu" (2005) 8.0 86 47680 "
Drama            " "153 min" R 79943.0 "Cristi Puiu" "['Doru Ana', 'Monica Barladeanu', 'Alina Berzunteanu', 'Dorian Boguta']"
1008 7 Serenity (2005) 7.9 74 47680 "
Action, Adventure, Sci-Fi            " "119 min" PG-13 25514517.0 "Joss Whedon" "['Nathan Fillion', 'Gina Torres', 'Chiwetel Ejiofor', 'Alan Tudyk']"
1009 8 "Walk the Line" (2005) 7.9 72 47680 "
Biography, Drama, Music            " "136 min" PG-13 119519402.0 "James Mangold" "['Joaquin Phoenix', 'Reese Witherspoon', 'Ginnifer Goodwin', 'Robert Patrick']"
1010 9 "Pride & Prejudice" (2005) 7.8 82 47680 "
Drama, Romance            " "129 min" PG 38405088.0 "Joe Wright" "['Keira Knightley', 'Matthew Macfadyen', 'Brenda Blethyn', 'Donald Sutherland']"
1011 10 "The World's Fastest Indian" (2005) 7.8 68 47680 "
Biography, Drama, Sport            " "127 min" PG-13 5128124.0 "Roger Donaldson" "['Anthony Hopkins', 'Diane Ladd', 'Iain Rea', 'Tessa Mitchell']"
1012 11 "Joyeux Noël" (2005) 7.8 70 47680 "
Drama, History, Music            " "116 min" PG-13 1054361.0 "Christian Carion" "['Diane Kruger', 'Benno Fürmann', 'Guillaume Canet', 'Natalie Dessay']"
1013 12 "Harry Potter and the Goblet of Fire" (2005) 7.7 81 47680 "
Adventure, Family, Fantasy            " "157 min" UA 290013036.0 "Mike Newell" "['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Eric Sykes']"
1014 13 "Brokeback Mountain" (2005) 7.7 87 47680 "
Drama, Romance            " "134 min" A 83043761.0 "Ang Lee" "['Jake Gyllenhaal', 'Heath Ledger', 'Michelle Williams', 'Randy Quaid']"
1015 14 "Shooting Dogs" (2005) 7.7 71 47680 "
Drama, History, War            " "115 min" R 10399.0 "Michael Caton-Jones" "['John Hurt', 'Hugh Dancy', 'Dominique Horwitz', 'Louis Mahoney']"
1016 15 "Star Wars: Episode III - Revenge of the Sith" (2005) 7.6 68 47680 "
Action, Adventure, Fantasy            " "140 min" PG-13 380262555.0 "George Lucas" "['Hayden Christensen', 'Natalie Portman', 'Ewan McGregor', 'Samuel L. Jackson']"
1017 16 "Kiss Kiss Bang Bang" (2005) 7.6 72 47680 "
Action, Comedy, Crime            " "103 min" R 4243756.0 "Shane Black" "['Robert Downey Jr.', 'Val Kilmer', 'Michelle Monaghan', 'Corbin Bernsen']"
1018 17 Munich (2005) 7.6 74 47680 "
Drama, History, Thriller            " "164 min" A 47403685.0 "Steven Spielberg" "['Eric Bana', 'Daniel Craig', 'Marie-Josée Croze', 'Ciarán Hinds']"
1019 18 "Match Point" (2005) 7.6 72 47680 "
Drama, Romance, Thriller            " "124 min" R 23089926.0 "Woody Allen" "['Scarlett Johansson', 'Jonathan Rhys Meyers', 'Emily Mortimer', 'Matthew Goode']"
